Card Name,Score,GPU,Base/Boost,Memory,Power,Buy
Nvidia Titan RTX,100.0%,TU102,1350/1770 MHz,24GB GDDR6,280W,https://www.amazon.com/nvidia-Titan-Graphic-Cards-900-1G150-2500-000/dp/B07L8YGDL5?tag=hawk-future-20&ascsubtag=tomshardware&ascsubtag=%site%%transactionId%-gclid-%gclid%-Fallback
Nvidia GeForce RTX 2080 Ti,96.8%,TU102,1350/1635 MHz,11GB GDDR6,260W,https://click.linksynergy.com/deeplink?id=Cty0dj6o3sg&mid=38606&u1=TomsHardware&murl=https%3A%2F%2Fwww.bestbuy.com%2Fsite%2Fnvidia-geforce-rtx-2080-ti-founders-edition-11gb-gddr6-pci-express-3-0-graphics-card%2F6291646.p%3FskuId%3D6291646
Nvidia GeForce RTX 2080 Super,85.9%,TU104,1650/1815 MHz,8GB GDDR6,250W,https://www.amazon.com/GIGABYTE-GeForce-Graphics-256-Bit-GV-N208STURBO-8GC/dp/B07V1DJ9KG?ascsubtag=%site%%transactionId%-gclid-%gclid%-Fallback
Nvidia GeForce RTX 2080,82.7%,TU104,1515/1800 MHz,8GB GDDR6,225W,https://click.linksynergy.com/deeplink?id=Cty0dj6o3sg&mid=38606&u1=TomsHardware&murl=https%3A%2F%2Fwww.bestbuy.com%2Fsite%2Fnvidia-geforce-rtx-2080-founders-edition-8gb-gddr6-pci-express-3-0-graphics-card%2F6291648.p%3FskuId%3D6291648
Nvidia GeForce RTX 2070 Super,77.6%,TU104,1605/1770 MHz,8GB GDDR6,215W,https://www.nvidia.com/en-us/geforce/graphics-cards/rtx-2070-super/
Nvidia Titan X,76.0%,GP102,1405/1480 MHz,12GB GDDR5X,250W,http://www.amazon.com/gp/product/https://www.amazon.com/EVGA-GeForce-GAMING-Graphics-12G-P4-2990-KR/dp/B00UVN21RQ?tag=hawk-future-20&ascsubtag=tomshardware-deal&ascsubtag=%site%%transactionId%-gclid-%gclid%-Fallback
Nvidia GeForce GTX 1080 Ti,75.4%,GP102,1480/1582 MHz,11GB GDDR5X,250W,https://www.newegg.com/msi-geforce-gtx-1080-ti-armor-11g-oc/p/N82E16814137111
AMD Radeon VII,74.9%,Vega 20,1400/1750 MHz,16GB HBM2,300W,http://www.tkqlhce.com/click-8900246-12920453?sid=tomshardware-&url=https%3A%2F%2Fwww.newegg.com%2FProduct%2FProduct.aspx%3FItem%3DN82E16814202330
AMD Radeon RX 5700 XT,73.8%,Navi 10,1605/1905 MHz,8GB GDDR6,225W,http://www.amazon.com/gp/product/https://www.amazon.com/XFX-Radeon-5700-GDDR6-3xDP/dp/B07TB5FBV6?tag=hawk-future-20&ascsubtag=tomshardware-deal&ascsubtag=%site%%transactionId%-gclid-%gclid%-Fallback
Nvidia GeForce RTX 2070,70.8%,TU106,1410/1710 MHz,8GB GDDR6,185W,https://www.bestbuy.com/site/nvidia-geforce-rtx-2070-founders-edition-8gb-gddr6-pci-express-3-1-graphics-card/6291650.p?skuId=6291650
Nvidia GeForce RTX 2060 Super,68.2%,TU106,1470/1650 MHz,8GB GDDR6,175W,https://www.nvidia.com/en-us/geforce/graphics-cards/rtx-2060-super/
AMD Radeon RX 5700,65.7%,Navi 10,1465/1725 MHz,8GB GDDR6,185W,http://www.amazon.com/gp/product/https://www.amazon.com/XFX-Radeon-5700-GDDR6-3xDP/dp/B07T81CGFY?tag=hawk-future-20&ascsubtag=tomshardware-deal&ascsubtag=%site%%transactionId%-gclid-%gclid%-Fallback
Nvidia GeForce GTX 1080,61.3%,GP104,1607/1733 MHz,8GB GDDR5X,180W,http://redirect.viglink.com?key=6c0b046b3ehttps://www.amazon.com/EVGA-GeForce-Support-Graphics-08G-P4-6183-KR/dp/B07K8SDFQV0ec746fbbe9b03fac3f09b&u=https%3A%2F%2Fwww.newegg.com%2FProduct%2FProduct.aspx%3FItem%3DN82E16814487318&ascsubtag=%site%%transactionId%-gclid-%gclid%-Fallback
AMD Radeon RX 5600 XT,60.9%,Navi 10,?/1615 MHz,6GB GDDR6,150W,http://redirect.viglink.com?key=6c0b046b3e0ec746fbbe9b03fac3f09b&u=https%3A%2F%2Fwww.newegg.com%2FProduct%2FProduct.aspx%3FItem%3DN82E16814137263
